x_m,y_m,w_tr_right_m,w_tr_left_m,s_m,heading_rad,curvature_radpm
183.300178,503.481893,7.587,7.489,969.9230459174597,1.2601854758110975,0.0017540123059170743
184.806574,508.246467,7.577,7.464,974.9200844714727,1.2650487376701556,0.0001896609780666506
186.3075,513.009435,7.412,7.38,979.9139450048177,1.262148244963333,-0.0013509364053336803
187.841059,517.763807,7.247,7.297,984.9095286865174,1.2544244155294126,-0.0017403092911875313
189.417246,522.50868,7.082,7.213,989.9093472077337,1.2484652841609054,-0.0006445440239869991
191.009594,527.251051,6.917,7.13,994.911912035374,1.2482202048001587,0.0005461295334864003
192.589208,531.998444,6.752,7.046,999.91520302086,1.2539304054004783,0.00173688724360674
194.127188,536.758382,6.587,6.962,1004.9174417440962,1.2650755328925216,0.002719828598727022
195.59971,541.536951,6.842,6.711,1009.9177460076631,1.2790453639125443,0.0028676300576247612
197.003102,546.334526,7.193,6.421,1014.9163693167642,1.2932295133406018,0.0028073124592410893
198.338695,551.150063,7.174,6.495,1019.913689124423,1.3071073465426886,0.0027465660738208277
199.607823,555.982517,7.006,6.715,1024.9100175306128,1.320681929696171,0.002687065473847015
200.811788,560.83086,6.837,6.935,1029.9056117462067,1.334005311751222,0.002646769301747463
201.951453,565.6943,6.669,7.156,1034.9007979235002,1.3471619797434082,0.0026207261863805636
203.02735,570.572222,6.663,6.979,1039.8959633254358,1.360188914853786,0.0025948645405383117
204.039999,575.464017,6.709,6.676,1044.8914729410033,1.3730863607647967,0.002568542923046747
204.989924,580.369074,6.755,6.373,1049.8876656593513,1.385853694713569,0.002542090064172034
205.877647,585.286785,6.788,6.103,1054.8848582316114,1.3984909402913759,0.0025154740385082606
206.703689,590.216539,6.697,6.159,1059.8833399897335,1.4109979816605231,0.002488703146173838
207.468572,595.157727,6.605,6.216,1064.8833784750886,1.4233745888593803,0.002461759136772847
208.17282,600.109738,6.514,6.272,1069.8852159564174,1.4356448613753061,0.0024444581664305755
208.816706,605.071905,6.422,6.328,1074.8889835886007,1.4480045884362498,0.0024959171565841157
209.398726,610.04313,6.367,6.342,1079.8941634336238,1.4607039804932513,0.00257890193059746
209.916597,615.022131,6.351,6.309,1084.9000241319095,1.4738253470756313,0.0026637968631094042
210.368033,620.007625,6.335,6.277,1089.9059151501133,1.4873762362040086,0.0027504492915953554
210.750748,624.998327,6.321,6.259,1094.9112700050691,1.501363881869153,0.002838856836057641
